Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/15/2024 9:19:05 AM	20.66	0.00	5.04	0.91	0.00	0.00	0.00	0.00	26.61	87.45	0.03	27.16	10951	0	2266	27	0	0	0	0	13245	159.50	25.21	5.79	24.75	62.71	28.97	92.93	1.00	24.84	24.54
7/15/2024 9:19:08 AM	22.23	0.00	3.52	1.07	0.00	0.00	0.00	0.00	26.82	87.73	0.04	27.29	11781	0	1585	32	0	0	0	0	13398	160.01	22.89	7.43	25.66	61.90	28.43	93.47	1.00	24.86	24.62
7/15/2024 9:19:10 AM	21.16	0.14	5.21	0.63	0.00	0.00	0.00	0.00	27.14	87.51	0.08	27.28	11215	139	2345	19	0	0	0	0	13718	159.62	25.04	5.53	26.91	62.84	28.14	94.61	1.01	24.90	24.62
7/15/2024 9:19:13 AM	21.77	0.00	4.42	1.02	0.00	0.00	0.00	0.00	27.21	87.23	0.13	27.24	11541	0	1989	31	0	0	0	0	13560	159.10	24.74	5.59	25.57	63.59	29.65	94.81	1.01	24.92	24.55
7/15/2024 9:19:16 AM	21.26	0.00	4.61	1.27	0.00	0.00	0.00	0.00	27.14	87.76	0.17	27.37	11266	0	2072	38	0	0	0	0	13377	160.06	25.59	7.14	27.10	63.46	29.24	94.73	1.02	24.94	24.59
7/15/2024 9:19:18 AM	20.59	0.00	5.32	1.12	0.00	0.00	0.00	0.00	27.03	86.17	0.21	27.43	10915	0	2395	34	0	0	0	0	13343	157.17	26.20	7.28	25.42	63.46	29.57	94.91	1.02	25.03	24.63
7/15/2024 9:19:22 AM	21.82	0.00	3.93	1.66	0.00	0.00	0.00	0.00	27.42	87.20	0.26	27.47	11566	0	1770	50	0	0	0	0	13386	159.05	25.62	7.30	26.81	64.38	31.05	95.31	1.03	25.04	24.68
7/15/2024 9:19:24 AM	21.66	0.00	4.59	1.13	0.00	0.00	0.00	0.00	27.39	86.75	0.31	27.49	11482	0	2065	34	0	0	0	0	13581	158.23	25.10	6.43	25.90	63.20	30.00	96.21	1.03	25.07	24.65
7/15/2024 9:19:27 AM	20.86	0.00	5.57	1.04	0.00	0.00	0.00	0.00	27.48	86.88	0.32	27.46	11057	0	2507	31	0	0	0	0	13596	158.47	26.49	7.94	25.45	64.13	29.74	96.89	1.03	25.12	24.71
7/15/2024 9:19:30 AM	22.08	0.00	4.61	1.12	0.00	0.00	0.00	0.00	27.81	87.17	0.36	27.38	11705	0	2074	33	0	0	0	0	13812	158.98	25.81	5.53	26.60	65.60	30.28	96.49	1.04	25.16	24.68
7/15/2024 9:19:32 AM	20.73	0.00	5.58	1.17	0.00	0.00	0.00	0.00	27.49	87.38	0.41	27.50	10989	0	2513	35	0	0	0	0	13537	159.37	26.89	5.91	27.17	63.17	30.13	97.38	1.04	25.21	24.75
7/15/2024 9:19:35 AM	20.76	0.00	6.39	0.67	0.00	0.00	0.00	0.00	27.82	87.38	0.45	27.53	11003	0	2873	20	0	0	0	0	13897	159.37	27.13	6.32	25.92	64.44	29.32	98.64	1.04	25.21	24.73
7/15/2024 9:19:38 AM	21.40	0.00	5.22	0.97	0.00	0.00	0.00	0.00	27.59	88.04	0.49	27.46	11343	0	2348	29	0	0	0	0	13721	160.58	26.08	5.62	26.44	64.21	29.77	96.81	1.05	25.26	24.79
7/15/2024 9:19:41 AM	21.06	0.00	5.63	1.05	0.00	0.00	0.00	0.00	27.75	87.55	0.52	27.52	11164	0	2534	32	0	0	0	0	13730	159.69	26.71	6.40	26.91	63.63	30.00	98.40	1.05	25.31	24.79
7/15/2024 9:19:44 AM	23.49	0.00	4.17	1.48	0.00	0.00	0.00	0.00	29.13	87.55	0.52	27.54	12448	0	1874	44	0	0	0	0	14367	159.69	26.25	6.71	28.54	67.07	32.02	101.90	1.05	25.35	24.81
7/15/2024 9:19:46 AM	23.35	0.00	4.99	1.07	0.00	0.00	0.00	0.00	29.41	86.74	0.54	27.86	12373	0	2248	32	0	0	0	0	14653	158.21	26.50	6.89	28.57	66.86	31.03	103.88	1.05	25.37	24.86
7/15/2024 9:19:49 AM	22.79	0.00	4.72	1.06	0.00	0.00	0.00	0.00	28.57	87.64	0.55	27.80	12078	0	2126	32	0	0	0	0	14236	159.85	25.24	8.29	27.61	64.27	29.87	101.43	1.05	25.40	24.92
7/15/2024 9:19:52 AM	21.61	0.00	6.25	1.25	0.00	0.00	0.00	0.00	29.11	87.17	0.58	27.71	11455	0	2812	37	0	0	0	0	14304	158.99	28.92	7.34	28.93	66.93	31.31	103.38	1.06	25.43	24.86
7/15/2024 9:19:55 AM	23.26	0.00	4.66	1.22	0.00	0.00	0.00	0.00	29.14	87.36	0.61	27.72	12328	0	2095	37	0	0	0	0	14460	159.35	26.26	6.30	28.41	66.33	31.47	102.70	1.06	25.46	24.94
7/15/2024 9:19:57 AM	22.43	0.00	5.42	1.14	0.00	0.00	0.00	0.00	28.99	86.71	0.65	27.56	11885	0	2440	34	0	0	0	0	14360	158.15	27.19	7.94	28.20	66.67	30.63	102.33	1.06	25.51	24.92
7/15/2024 9:20:00 AM	23.32	0.00	5.08	1.04	0.00	0.00	0.00	0.00	29.43	87.07	0.66	27.56	12360	0	2284	31	0	0	0	0	14675	158.81	26.65	6.67	28.13	67.37	31.21	103.69	1.06	25.56	24.95
7/15/2024 9:20:03 AM	22.84	0.00	6.04	0.73	0.00	0.00	0.00	0.00	29.62	87.56	0.66	27.57	12107	0	2718	22	0	0	0	0	14847	159.71	27.33	7.42	27.98	67.29	30.43	105.32	1.06	25.55	24.95
7/15/2024 9:20:05 AM	22.58	0.00	6.22	1.02	0.00	0.00	0.00	0.00	29.82	87.36	0.70	27.36	11970	0	2797	31	0	0	0	0	14797	159.35	28.56	6.99	27.75	68.32	32.16	105.99	1.07	25.61	24.97
7/15/2024 9:20:08 AM	21.94	0.00	5.96	1.00	0.00	0.00	0.00	0.00	28.90	86.71	0.75	27.29	11627	0	2683	30	0	0	0	0	14340	158.15	27.64	5.85	27.87	65.64	31.17	102.92	1.07	25.65	24.99
7/15/2024 9:20:10 AM	22.83	0.00	5.48	1.20	0.00	0.00	0.00	0.00	29.51	87.39	0.77	27.52	12101	0	2464	36	0	0	0	0	14601	159.38	27.51	7.59	27.96	67.13	31.95	104.80	1.08	25.66	25.03
7/15/2024 9:20:13 AM	22.78	0.00	5.54	1.32	0.00	0.00	0.00	0.00	29.64	86.99	0.81	27.61	12074	0	2495	39	0	0	0	0	14608	158.66	28.10	7.67	29.20	67.69	31.85	105.03	1.08	25.73	25.08
7/15/2024 9:20:16 AM	22.61	0.00	5.97	0.96	0.00	0.00	0.00	0.00	29.53	87.03	0.87	27.38	11981	0	2688	29	0	0	0	0	14697	158.73	27.79	7.04	27.85	67.32	31.39	104.98	1.09	25.71	25.12
