Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/15/2024 11:53:33 AM	4.16	6.45	0.38	0.00	0.00	0.00	0.00	0.51	10.99	41.49	0.04	27.90	2205	6452	170	0	0	0	0	0	8828	75.70	9.44	5.12	29.91	23.84	28.14	20.33	1.00	23.84	25.05
7/15/2024 11:53:35 AM	1.55	6.88	1.63	0.00	0.00	0.00	0.00	0.56	10.06	42.36	0.04	27.93	823	6883	733	0	0	0	0	0	8438	77.30	10.98	6.44	30.26	21.92	28.85	17.27	1.00	23.85	25.00
7/15/2024 11:53:38 AM	2.11	6.66	0.80	0.07	0.00	0.00	0.00	0.81	9.64	45.42	0.04	28.09	1120	6658	359	2	0	0	0	0	8138	82.87	9.90	8.25	29.74	24.54	27.40	17.70	1.00	23.88	24.99
7/15/2024 11:53:41 AM	3.70	6.52	0.68	0.00	0.00	0.00	0.00	0.67	10.90	51.55	0.08	28.15	1962	6517	306	0	0	0	0	0	8785	94.05	10.23	4.33	29.18	25.85	29.57	21.22	1.01	23.90	25.03
7/15/2024 11:53:44 AM	2.12	5.89	1.99	0.00	0.00	0.00	0.00	0.74	10.01	51.54	0.12	27.89	1126	5891	897	0	0	0	0	0	7913	94.03	12.03	4.79	28.69	25.89	25.44	21.57	1.01	23.92	25.05
7/15/2024 11:53:47 AM	2.49	5.75	2.45	0.00	0.00	0.00	0.00	0.34	10.69	56.82	0.15	27.89	1320	5748	1103	0	0	0	0	0	8170	103.65	12.04	5.92	27.88	22.15	26.21	21.78	1.01	23.94	25.02
7/15/2024 11:53:49 AM	0.85	5.79	2.17	1.56	0.00	0.00	0.00	0.64	10.37	59.46	0.24	27.95	453	5794	975	47	0	0	0	0	7269	108.46	15.86	6.17	28.88	25.59	32.24	23.37	1.02	23.94	25.05
7/15/2024 11:53:52 AM	3.93	6.14	0.00	0.80	0.00	0.00	0.00	0.58	10.87	58.63	0.25	28.00	2085	6135	0	24	0	0	0	0	8244	106.96	9.79	7.37	28.76	25.12	30.78	21.64	1.02	23.95	25.02
7/15/2024 11:53:55 AM	4.26	6.26	0.00	0.00	0.00	0.00	0.00	0.82	10.52	59.45	0.24	28.10	2256	6260	0	0	0	0	0	0	8516	108.44	9.08	4.00	32.52	27.49	23.91	21.19	1.02	23.98	25.03
7/15/2024 11:53:58 AM	1.66	6.98	3.07	0.00	0.00	0.00	0.00	0.59	11.71	71.49	0.35	27.80	877	6985	1381	0	0	0	0	0	9243	130.40	14.35	5.83	31.72	26.16	31.31	23.56	1.03	23.99	25.03
7/15/2024 11:54:00 AM	5.74	5.79	0.44	0.67	0.00	0.00	0.00	0.43	12.64	69.28	0.38	27.60	3044	5791	197	20	0	0	0	0	9052	126.36	11.97	1.99	28.19	27.73	32.70	27.68	1.04	24.03	25.07
7/15/2024 11:54:03 AM	2.75	6.92	2.51	0.00	0.00	0.00	0.00	0.71	12.19	72.64	0.49	27.44	1459	6920	1131	0	0	0	0	0	9510	132.49	13.87	7.05	32.18	28.98	31.02	25.77	1.05	24.04	25.00
7/15/2024 11:54:06 AM	5.15	6.53	0.00	1.44	0.00	0.00	0.00	0.73	13.12	74.95	0.58	27.29	2731	6532	0	43	0	0	0	0	9306	136.70	13.33	7.66	32.74	31.99	35.62	29.25	1.06	24.07	25.07
7/15/2024 11:54:08 AM	6.77	7.07	0.00	1.44	0.00	0.00	0.00	0.76	15.29	79.94	0.66	27.22	3590	7074	0	43	0	0	0	0	10708	145.80	14.56	9.66	36.56	36.72	38.01	34.95	1.06	24.10	25.12
7/15/2024 11:54:11 AM	4.17	7.10	1.18	1.83	0.00	0.00	0.00	1.04	14.27	79.79	0.73	27.11	2209	7100	530	55	0	0	0	0	9894	145.54	17.95	10.15	37.13	38.25	38.11	34.47	1.07	24.09	25.07
7/15/2024 11:54:14 AM	4.69	7.73	2.05	0.94	0.00	0.00	0.00	0.96	15.41	81.42	0.81	27.01	2486	7729	924	28	0	0	0	0	11167	148.51	17.86	8.17	38.04	38.89	39.10	35.89	1.08	24.14	25.10
7/15/2024 11:54:17 AM	4.85	6.95	0.00	2.55	0.00	0.00	0.00	1.05	14.35	79.47	0.87	26.81	2571	6955	0	76	0	0	0	0	9602	144.96	17.85	9.47	37.22	38.65	40.38	34.77	1.09	24.16	25.10
7/15/2024 11:54:19 AM	3.14	7.57	1.39	1.98	0.00	0.00	0.00	1.05	14.08	76.65	0.90	26.64	1664	7569	624	59	0	0	0	0	9916	139.80	18.70	9.37	38.07	37.21	40.32	32.69	1.09	24.19	25.07
7/15/2024 11:54:22 AM	3.46	6.27	0.20	3.26	0.00	0.00	0.00	0.96	13.19	75.66	0.92	26.56	1831	6269	91	98	0	0	0	0	8289	138.01	19.03	9.80	35.43	35.84	39.61	32.94	1.09	24.21	25.10
7/15/2024 11:54:25 AM	7.08	7.60	0.00	6.66	0.00	0.00	0.00	0.97	21.34	80.60	1.02	26.48	3753	7600	0	200	0	0	0	0	11553	147.01	31.34	16.64	51.03	53.48	58.82	57.52	1.10	24.23	25.10
7/15/2024 11:54:28 AM	6.25	7.57	0.95	9.76	0.00	0.00	0.00	0.94	24.54	80.66	1.07	26.47	3315	7574	427	293	0	0	0	0	11610	147.12	42.24	20.32	58.21	61.06	70.36	70.26	1.10	24.25	25.07
7/15/2024 11:54:30 AM	8.54	8.62	1.23	14.02	0.00	0.00	0.00	1.05	32.40	82.54	1.11	26.60	4524	8623	552	420	0	0	0	0	14119	150.56	57.57	28.08	74.30	80.04	90.94	96.26	1.11	24.28	25.10
7/15/2024 11:54:33 AM	8.05	7.32	0.00	16.81	0.00	0.00	0.00	1.08	32.18	82.98	1.21	26.57	4266	7324	0	504	0	0	0	0	12094	151.34	61.27	30.98	73.73	82.10	95.94	100.38	1.12	24.32	25.12
7/15/2024 11:54:36 AM	8.47	7.26	0.00	14.23	0.00	0.00	0.00	1.11	29.96	84.23	1.33	26.37	4490	7256	0	427	0	0	0	0	12172	153.63	54.35	25.67	67.66	76.99	87.31	92.01	1.13	24.37	25.15
7/15/2024 11:54:39 AM	7.42	6.64	0.00	13.37	0.00	0.00	0.00	1.08	27.42	84.33	1.43	25.84	3930	6640	0	401	0	0	0	0	10971	153.82	51.10	25.20	63.52	71.53	79.93	84.89	1.14	24.37	25.12
