"Reservoir","Site","DateTime","CastID","Depth_m","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","TotalConc_ugL","YellowSubstances_ugL","Temp_C","Transmission_perc","RFU_370nm","RFU_470nm","RFU_525nm","RFU_570nm","RFU_590nm","RFU_610nm","Flag_GreenAlgae_ugL","Flag_Bluegreens_ugL","Flag_BrownAlgae_ugL","Flag_MixedAlgae_ugL","Flag_YellowSubstances_ugL","Flag_TotalConc_ugL","Flag_Temp_C","Flag_Transmission_perc","Flag_RFU_525nm","Flag_RFU_570nm","Flag_RFU_610nm","Flag_RFU_370nm","Flag_RFU_590nm","Flag_RFU_470nm"
"FCR",50,2024-01-29 20:00:54,1160,0.2,11.16,0,5,0,16.16,0.66,7.4,100,31.16,62.97,20.76,4.16,17.49,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:00:57,1160,0.21,11.01,0,5.67,0,16.68,0.55,6.2,100,30.61,65.09,21.8,4.89,16.68,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:00:59,1160,0.23,10.4,0,5.62,0,16.01,0.7,6.17,100,31.56,63.5,21.81,4.99,17.53,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:01,1160,0.27,11.09,0,5.98,0,17.07,0.51,6.31,100,30.92,66.16,22.56,4.38,17.76,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:04,1160,0.31,11.14,0,5.58,0.29,17.02,0.48,6.11,100,30.73,65.21,22.51,4.71,20.06,16.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:06,1160,0.38,11.92,0.1,5.91,0,17.94,0.42,6.65,100,31.41,67.31,22.88,4.61,19.29,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:08,1160,0.46,10.62,0,6.81,0,17.43,0.53,6.35,100,31.86,68.49,24.2,5.18,19.03,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:11,1160,0.51,10.51,0,6.95,0,17.46,0.57,5.73,100,32.58,68.64,24.72,5.28,19.08,17.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:13,1160,0.57,11.2,0,6.27,0,17.46,0.62,5.82,100,32.56,68.95,23.38,5.45,18.77,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:16,1160,0.62,11.93,0,6.48,0,18.41,0.36,5.78,100,31.41,69.88,23.89,4.01,19.56,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:18,1160,0.69,11.38,0,6.05,0,17.43,0.53,5.87,100,31.66,67.48,23.03,3.02,19.52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:20,1160,0.77,11,0,6.79,0,17.79,0.63,6.25,100,33.53,70.16,24.68,5.51,19.69,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:23,1160,0.85,13.08,0,5.69,0,18.77,0.55,6.24,100,33.59,71.68,23.15,4.02,19.6,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:25,1160,0.91,11.2,0,7.21,0,18.41,0.5,5.81,100,32.95,72.1,25.38,5.53,19.59,16.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:27,1160,0.99,11.55,0,7.32,0,18.87,0.55,5.85,100,34.09,74.33,25.88,6.01,19.95,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:30,1160,1.07,12.76,0,7.51,0,20.26,0.5,6.12,100,35.52,78.79,27.15,4.57,19.83,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:32,1160,1.15,12.01,0,7.89,0,19.9,0.45,6.15,100,34.76,77.37,27.42,5.14,20.99,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:35,1160,1.25,11.89,0,8.61,0,20.5,0.52,5.82,100,36.02,81.53,29.01,6.01,20.12,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:37,1160,1.37,11.94,0,8.92,0,20.86,0.42,5.34,100,35.83,81.96,29.76,4.44,21.52,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:39,1160,1.47,12.44,0,8.96,0,21.39,0.51,5.21,100,37.67,84.29,30.37,5.79,21.41,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:42,1160,1.55,13.44,0,8.91,0,22.35,0.39,5.4,100,37.79,86.31,30.48,6.11,22.67,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:44,1160,1.63,13.57,0,9.21,0,22.78,0.37,5.3,100,38.09,88.15,31.29,5.17,22.41,20.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:47,1160,1.71,12.32,0,9.87,0,22.19,0.5,5.16,100,38.85,88.03,32.38,6.16,22.53,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:49,1160,1.78,13.66,0,9.17,0,22.82,0.42,5.22,100,39,88.11,31.38,5.82,23.98,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:51,1160,1.86,12.94,0,9.5,0,22.45,0.39,5.23,100,38.19,87.1,31.62,6.63,23,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:54,1160,1.92,13.43,0,9.25,0,22.68,0.35,5.24,100,37.77,87.57,31.14,6.08,22.72,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:56,1160,2.01,12.3,0,10.33,0,22.63,0.49,5.22,100,39.75,89.37,33.48,6.8,23.87,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:58,1160,2.09,13.88,0,9.73,0,23.61,0.44,5.08,100,40.17,91.82,32.8,6.45,23.43,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:01,1160,2.22,14.18,0,10.52,0,24.7,0.42,4.98,100,41.63,96.55,34.81,6.32,24.15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:03,1160,2.35,14.09,0,11.16,0,25.24,0.34,4.87,100,41.81,98.21,36.05,6.93,24.84,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:06,1160,2.46,14,0,10.94,0,24.93,0.45,4.83,100,42.48,97.77,35.78,6.57,25.19,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:08,1160,2.58,13.9,0,10.92,0,24.82,0.35,4.8,100,41.14,96.84,35.32,7.06,24.31,21.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:10,1160,2.68,14.31,0,10.7,0,25.02,0.36,4.93,100,41.48,97.15,35.14,6.46,24.78,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:13,1160,2.75,13.27,0,11.1,0,24.38,0.45,5.04,100,41.52,96.51,35.72,6.01,24.17,21.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:15,1160,2.81,13.53,0,10.7,0,24.23,0.5,5.05,100,41.86,95.83,34.95,7.1,24.55,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:17,1160,2.87,13.64,0,10.91,0,24.55,0.43,5.1,100,41.75,96.27,35.51,6.36,24.57,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:20,1160,2.94,13.88,0,11.04,0,24.93,0.41,5.09,100,41.8,97.98,35.74,6.89,24.15,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:22,1160,3.03,13.81,0,11.32,0,25.13,0.41,5.04,100,42.53,98.48,36.5,6.87,25.44,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:25,1160,3.11,13.78,0,10.83,0,24.61,0.42,4.91,100,41.75,96.17,35.39,6.53,24.53,22.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:27,1160,3.2,14.04,0,11.1,0,25.14,0.4,4.84,100,42.21,98.54,36,6.92,24.75,22.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:29,1160,3.31,14.13,0,10.97,0,25.1,0.41,4.81,100,42.35,97.93,35.87,6.64,25.03,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:32,1160,3.39,14.17,0,11.36,0,25.53,0.45,4.76,100,43.37,100.26,36.88,6.82,25.41,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:34,1160,3.49,13.91,0,11.29,0,25.2,0.38,4.79,100,42.39,98.19,36.44,7.05,25.67,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:36,1160,3.6,13.98,0,11.31,0,25.29,0.44,4.75,100,42.99,99.26,36.66,6.7,25.5,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:39,1160,3.73,14.28,0,10.87,0,25.16,0.43,4.69,100,42.49,98.45,35.67,7,24.93,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:41,1160,3.8,13.64,0,11.27,0,24.91,0.41,4.67,100,42.15,97.86,36.27,6.74,24.9,22.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:44,1160,3.91,13.82,0,11.25,0,25.08,0.42,4.62,100,42.48,98.29,36.37,6.84,25.25,22.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:46,1160,4.01,13.83,0,11.18,0,25.01,0.47,4.6,100,42.87,98.38,36.28,7.16,25.21,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:48,1160,4.08,13.59,0,11.31,0,24.91,0.42,4.61,100,42.29,97.84,36.36,7.04,25.05,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:51,1160,4.18,13.54,0,11.21,0,24.75,0.46,4.63,100,42.52,97.45,36.24,6.75,25.06,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:53,1160,4.27,13.68,0,11.4,0,25.08,0.48,4.62,100,43.19,98.97,36.78,7.06,25.48,22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:56,1160,4.35,13.8,0,11.18,0,24.98,0.44,4.62,100,42.49,98.09,36.26,6.44,24.97,22.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:02:58,1160,4.42,13.69,0,11.45,0,25.14,0.44,4.66,100,43.02,98.63,36.89,6.92,25.75,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:00,1160,4.49,14.3,0,11.28,0,25.59,0.43,4.69,100,43.32,100.15,36.75,7,25.42,23.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:03,1160,4.55,13.95,0,11.42,0,25.38,0.46,4.71,100,43.24,100.01,36.92,6.66,25.38,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:05,1160,4.65,14,0,11.4,0,25.4,0.49,4.71,100,43.59,100.26,36.96,6.88,25.39,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:07,1160,4.73,13.5,0,11.48,0,24.99,0.52,4.7,100,43.56,98.89,37.03,7.1,25.43,22.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:10,1160,4.81,13.85,0,11.34,0,25.19,0.49,4.68,100,43.32,99.51,36.7,6.9,25.51,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:12,1160,4.89,13.9,0,11.53,0,25.43,0.46,4.63,100,43.49,100.19,37.17,7.07,25.52,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:15,1160,4.99,14.01,0,11.68,0,25.7,0.49,4.65,100,44.32,101.35,37.72,7.24,25.87,23.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:17,1160,5.09,13.97,0,11.49,0,25.46,0.5,4.67,100,43.9,100.49,37.2,7.13,25.78,22.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:19,1160,5.21,14.04,0,11.44,0,25.48,0.47,4.63,100,43.66,100.18,37.07,7.2,25.65,23.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:22,1160,5.31,13.62,0,11.49,0,25.11,0.52,4.62,100,43.69,99.42,37.06,7.25,25.58,22.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:24,1160,5.4,14.03,0,11.19,0,25.23,0.5,4.69,100,43.59,99.27,36.58,7.01,25.48,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:26,1160,5.49,13.7,0,11.22,0,24.92,0.54,4.74,100,43.53,98.64,36.51,7.19,25.35,22.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:29,1160,5.56,13.77,0,11.63,0,25.4,0.54,4.84,100,44.4,100.71,37.58,7.28,25.66,23.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:31,1160,5.65,13.76,0,11.59,0,25.35,0.54,4.95,100,44.41,100.26,37.48,7.56,25.93,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:34,1160,5.71,14.45,0,11.53,0,25.98,0.56,5,100,45.15,103.07,37.65,7.5,25.72,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:36,1160,5.8,14.73,0,10.96,0,25.69,0.53,4.88,100,44.03,101.43,36.33,6.92,24.8,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:38,1160,5.88,14.05,0,11.11,0,25.16,0.55,4.65,100,43.79,99.61,36.43,7.11,25.16,22.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:41,1160,5.96,13.96,0,11.19,0,25.15,0.6,4.61,100,44.31,100.22,36.7,6.96,25,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:43,1160,6.14,13.91,0,11.34,0,25.25,0.57,4.58,100,44.18,100.35,36.95,7.06,25.34,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:46,1160,6.35,14,0,11,0,25,0.54,4.47,100,43.44,98.93,36.11,6.98,24.81,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:48,1160,6.58,13.84,0,11.19,0,25.03,0.58,4.4,100,44.03,99.52,36.62,6.92,25.13,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:50,1160,6.78,13.55,0,11.29,0,24.85,0.63,4.39,100,44.24,99.54,36.77,7.05,25.07,22.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:53,1160,6.94,14.34,0,11.08,0,25.41,0.58,4.41,100,44.33,100.79,36.59,6.84,24.97,22.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:55,1160,7.13,14.28,0,11.36,0,25.63,0.59,4.43,100,44.93,101.76,37.26,7.13,25.58,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:03:57,1160,7.45,13.7,0,11.16,0,24.86,0.59,4.44,100,43.88,98.9,36.49,6.97,25.11,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:00,1160,7.55,13.9,0,11.28,0,25.18,0.64,4.43,100,44.85,100.64,37.04,6.88,25.29,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:02,1160,7.67,13.84,0,11.31,0,25.15,0.63,4.43,100,44.77,100.26,37.07,7.02,25.31,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:05,1160,7.76,14.11,0,11.03,0,25.14,0.64,4.46,100,44.74,100.21,36.57,6.8,25.15,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:07,1160,7.93,13.8,0,11.19,0,24.98,0.65,4.47,100,44.72,99.78,36.82,6.82,25.14,22.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:09,1160,8.15,13.66,0,11.24,0,24.91,0.6,4.45,100,44.08,99.23,36.71,6.89,25.17,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:12,1160,8.31,14.05,0,11,0,25.05,0.65,4.46,100,44.63,99.88,36.46,6.84,24.96,22.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:14,1160,8.46,14.04,0,11.1,0,25.15,0.64,4.49,100,44.81,100.21,36.72,6.9,25.13,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:16,1160,8.58,13.97,0,10.99,0,24.96,0.63,4.47,100,44.34,99.3,36.33,6.9,25.23,22.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:19,1160,8.73,13.87,0,11.3,0,25.17,0.65,4.46,100,44.99,100.56,37.08,7.11,25.4,22.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:21,1160,8.92,14.09,0,11.25,0,25.34,0.64,4.43,100,45.15,100.98,37.1,7.07,25.51,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:24,1160,8.94,14.17,0,11.2,0,25.37,0.64,4.44,100,45.12,100.99,36.99,7.05,25.56,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:26,1160,8.96,14.13,0,11.34,0,25.47,0.65,4.53,100,45.62,101.4,37.44,7,25.98,23.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:28,1160,9.05,14.17,0,11.05,0,25.21,0.66,4.55,100,44.98,100.64,36.66,6.93,25,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:31,1160,9.16,14.43,0,10.96,0,25.4,0.66,4.53,100,45.32,100.91,36.67,6.96,25.36,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:33,1160,9.3,13.9,0,10.96,0,24.86,0.71,4.56,100,45.04,99.69,36.46,6.75,25.05,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:04:35,1160,9.45,14.33,0,11.19,0,25.53,0.67,4.53,100,45.7,101.73,37.18,6.95,25.75,23.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2024-06-10 15:34:22,1161,0.22,6.36,23.39,3.72,0,33.47,0.97,23.42,78.13,57.82,48.53,30.55,17.25,90.79,96.02,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:25,1161,0.3,6.26,24.19,4.1,0.11,34.67,0.75,23.45,79.23,56.5,48.89,31.41,21.37,93.3,99.56,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:28,1161,0.32,6.41,24.12,4.51,0,35.04,0.72,23.46,79.54,57.09,50.32,32.16,18.81,93.78,99.34,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:31,1161,0.39,5.97,24.48,4.22,0.32,34.99,0.97,23.4,78.91,59.86,50.79,32.98,19.13,96.6,100.07,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:34,1161,0.45,4.99,24.72,5.04,0,34.76,0.87,23.41,79.12,57.66,48.98,33.33,18.66,95.36,100.95,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:36,1161,0.5,6.87,25.04,4.37,0,36.27,0.64,23.38,79.72,57.47,50.95,32.46,20.19,97.25,102.58,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:39,1161,0.57,8.67,23.54,0.26,2.28,34.75,0.83,23.3,78.12,58.43,50.12,30.76,20.53,98.4,99.83,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:42,1161,0.66,5.17,25.5,4.84,0.02,35.53,0.97,23.26,80.03,59.7,49.79,33.61,20.58,98.32,103.32,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:45,1161,0.74,6.15,25.96,4.41,0,36.51,0.89,23.24,78.8,60.15,50.72,33.51,19.4,99.74,105.86,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:47,1161,0.81,6.82,25.97,4.35,0,37.14,0.81,23.33,77.93,60.44,52.16,33.45,20.48,100.4,106.02,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:50,1161,0.87,6.66,26.35,4.55,0,37.56,0.94,23.32,79.2,62.75,53.43,34.5,19.69,101.65,107.88,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:52,1161,0.95,5.6,27.15,7.84,0,40.59,1,23.31,78.64,69.92,63.71,41.62,21.49,106.9,112.86,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:55,1161,1.08,6.32,26.8,8.33,0,41.45,0.91,23.35,79.07,71.28,67.35,42.61,21.83,106.73,112.56,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:34:58,1161,1.17,6.39,27,8.91,0,42.3,0.9,23.31,78.57,72.9,69.88,43.93,22.85,108.04,113.77,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:01,1161,1.22,6.59,27.48,9,0,43.06,0.89,23.3,78.38,73.87,70.97,44.57,22.32,110.75,115.07,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:04,1161,1.28,5.89,27.21,9.13,0,42.24,0.9,23.27,78.84,72.48,69.17,44.41,22.12,108.22,114.78,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:06,1161,1.32,6.21,26.97,9.31,0,42.49,0.81,23.25,79.21,72.2,70.23,44.64,21.34,108.32,113.94,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:09,1161,1.38,6.38,27.26,9.2,0,42.84,0.88,23.29,78.69,73.61,70.96,44.78,22,109.66,114.72,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:12,1161,1.47,5.89,27.6,9.61,0.02,43.12,0.88,23.19,78.12,73.72,71.14,45.6,22.74,111.19,115.58,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:14,1161,1.52,6.34,27.79,9.22,0,43.35,0.85,23.16,78.6,73.61,70.84,45.1,22.69,110.93,116.95,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:17,1161,1.58,6.06,27.82,9.45,0,43.33,0.93,23.15,78.71,74.64,71.4,45.64,22.46,111.53,116.76,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:20,1161,1.64,5.49,27.99,9.86,0,43.34,1.02,23.16,79.15,75.72,71.85,46.53,22.58,111.98,117.41,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:22,1161,1.67,6.2,28.31,9.4,0,43.92,0.95,23.14,78.68,75.5,71.91,46.05,23.01,112.31,119.43,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:25,1161,1.7,5.96,27.68,9.32,0,42.96,1.02,23.1,78.26,75.1,71.1,45.37,22.44,110.82,116.12,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:28,1161,1.71,6.5,28.11,8.43,0,43.05,1.04,23.03,78.88,74.82,69.54,44.16,22.99,110.64,118.34,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:31,1161,1.75,5.54,25.1,7.73,0,38.37,1.21,22.93,80.63,70.72,64.06,40.32,20.53,100.35,104.99,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:33,1161,1.81,4.74,21.26,6.2,0,32.2,1.2,22.72,81.24,61.68,54.23,33.97,16.9,85.25,89.1,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:36,1161,1.87,3.36,19.89,5.85,0.64,29.74,1.28,22.42,82.5,59.05,50.93,33.51,16.52,82.2,83.59,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:39,1161,1.93,2.91,14.78,3.59,0.5,21.79,1.17,22.1,84.92,46.21,37.8,24.21,12.49,61.59,62.46,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:42,1161,1.97,3.02,15.74,4.59,0,23.34,1.11,21.9,85.73,47.68,40.04,25.45,13,63.78,65.93,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:45,1161,2.01,2.31,15.59,4.86,0,22.76,1.15,21.74,86.7,47.15,39.04,25.6,13.64,62.43,65.47,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:47,1161,2.05,2.91,13.49,3.52,1.01,20.93,0.98,21.68,86.81,43.55,37.79,24.24,12.64,58.66,58.94,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:50,1161,2.11,2.97,13.06,2.96,1.5,20.49,0.92,21.69,87.42,42.32,37.09,24.05,13.17,58.24,58.16,3,3,3,3,3,3,0,3,3,3,3,3,3,3
"BVR",50,2024-06-10 15:35:53,1161,2.17,3.21,21.99,5,0.47,30.68,0.68,21.43,87.64,49.67,42.8,31.1,19.66,85.96,90.47,3,3,3,3,3,3,0,3,3,3,3,3,3,3
