Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/8/2024 11:59:53 AM	0.25	19.55	0.00	0.00	0.00	0.00	0.00	1.62	19.80	50.14	0.11	27.00	132	19548	0	0	0	0	0	0	19681	91.47	15.90	14.23	75.20	40.28	68.30	17.13	1.01	25.08	24.91
7/8/2024 11:59:56 AM	0.00	19.66	0.00	0.00	0.00	0.00	0.00	1.73	19.66	50.91	0.21	27.03	0	19663	0	0	0	0	0	0	19663	92.87	16.78	11.73	75.55	41.36	68.81	16.87	1.02	25.09	24.94
7/8/2024 11:59:59 AM	0.78	20.04	0.00	0.00	0.00	0.00	0.00	1.57	20.82	50.32	0.22	26.96	412	20040	0	0	0	0	0	0	20453	91.79	15.18	12.85	78.67	41.43	69.53	18.62	1.02	25.14	24.94
7/8/2024 12:00:01 PM	0.07	20.36	0.00	0.00	0.00	0.00	0.00	1.68	20.43	49.78	0.30	26.92	37	20358	0	0	0	0	0	0	20395	90.82	15.95	12.92	78.75	41.44	70.55	17.13	1.03	25.21	24.99
7/8/2024 12:00:05 PM	0.79	20.51	0.00	0.00	0.00	0.00	0.00	1.57	21.30	49.81	0.41	26.87	421	20506	0	0	0	0	0	0	20928	90.88	16.41	13.28	80.01	41.74	71.31	18.78	1.04	25.20	24.99
7/8/2024 12:00:07 PM	0.95	21.71	0.00	0.00	0.00	0.00	0.00	1.68	22.66	49.97	0.49	26.80	502	21709	0	0	0	0	0	0	22211	91.17	18.10	14.67	83.42	44.57	76.56	20.40	1.05	25.26	25.03
7/8/2024 12:00:10 PM	0.77	22.50	0.00	0.00	0.00	0.00	0.00	1.78	23.27	50.39	0.54	26.72	408	22502	0	0	0	0	0	0	22910	91.92	19.61	14.90	86.92	46.02	78.25	20.62	1.05	25.31	25.07
7/8/2024 12:00:13 PM	1.37	22.53	0.00	0.00	0.00	0.00	0.00	1.65	23.90	50.51	0.62	26.65	725	22528	0	0	0	0	0	0	23253	92.15	19.34	15.57	87.94	45.73	78.16	21.71	1.06	25.34	25.08
7/8/2024 12:00:15 PM	2.07	25.36	0.00	0.00	0.00	0.00	0.00	1.69	27.43	51.38	0.72	26.45	1095	25364	0	0	0	0	0	0	26459	93.74	22.96	17.65	98.36	50.19	88.53	25.02	1.07	25.38	25.08
7/8/2024 12:00:18 PM	1.71	24.40	0.05	0.00	0.00	0.00	0.00	1.73	26.16	51.97	0.82	26.08	906	24397	24	0	0	0	0	0	25327	94.80	22.70	15.70	94.87	49.19	84.99	24.05	1.08	25.41	25.08
