Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/15/2024 11:26:25 AM	6.00	5.95	0.00	4.14	0.00	0.00	0.00	0.69	16.09	63.62	0.00	26.76	3178	5952	0	124	0	0	0	0	9255	116.06	21.69	11.18	38.09	39.57	43.44	41.95	1.00	25.13	25.89
7/15/2024 11:26:27 AM	4.68	6.60	1.46	2.90	0.00	0.00	0.00	0.72	15.63	59.00	0.02	26.81	2478	6597	657	87	0	0	0	0	9820	107.64	21.02	10.46	38.02	37.88	41.26	39.00	1.00	25.16	25.92
7/15/2024 11:26:30 AM	5.56	6.66	1.76	3.16	0.00	0.00	0.00	0.57	17.14	60.98	0.10	26.80	2946	6665	791	95	0	0	0	0	10496	111.25	22.63	11.41	39.96	39.40	43.13	43.10	1.01	25.21	25.95
7/15/2024 11:26:33 AM	5.68	6.46	2.16	3.85	0.00	0.00	0.00	0.60	18.15	64.66	0.20	26.74	3009	6463	971	116	0	0	0	0	10559	117.94	25.55	12.19	41.24	42.60	45.58	47.91	1.02	25.26	25.95
7/15/2024 11:26:35 AM	6.67	6.54	2.12	4.93	0.00	0.00	0.00	0.61	20.26	68.79	0.37	26.78	3536	6542	955	148	0	0	0	0	11181	125.48	29.28	13.77	44.79	47.74	50.53	55.26	1.04	25.32	26.00
7/15/2024 11:26:38 AM	7.78	6.44	1.82	5.16	0.00	0.00	0.00	0.61	21.20	72.95	0.48	26.63	4124	6442	818	155	0	0	0	0	11539	133.06	29.87	13.88	45.55	50.05	51.72	58.55	1.05	25.34	26.06
7/15/2024 11:26:41 AM	7.64	6.44	1.43	5.32	0.00	0.00	0.00	0.78	20.84	73.41	0.53	26.66	4048	6444	645	160	0	0	0	0	11298	133.90	29.80	14.13	45.57	51.53	51.84	58.35	1.05	25.37	26.05
7/15/2024 11:26:44 AM	7.08	6.75	1.88	4.91	0.00	0.00	0.00	0.71	20.62	74.80	0.63	26.62	3751	6748	846	147	0	0	0	0	11492	136.44	29.32	13.42	45.49	49.56	51.56	56.29	1.06	25.43	26.06
7/15/2024 11:26:46 AM	7.34	6.69	2.53	4.58	0.00	0.00	0.00	0.63	21.14	76.56	0.69	26.52	3892	6688	1138	137	0	0	0	0	11855	139.65	29.66	13.27	45.34	49.81	50.90	57.91	1.07	25.45	26.05
7/15/2024 11:26:49 AM	7.02	6.88	3.00	4.36	0.00	0.00	0.00	0.67	21.26	76.36	0.74	26.54	3723	6881	1349	131	0	0	0	0	12083	139.28	30.06	13.04	45.64	50.36	51.09	58.19	1.07	25.49	26.08
7/15/2024 11:26:52 AM	6.66	7.08	3.33	4.14	0.00	0.00	0.00	0.70	21.21	76.34	0.79	26.53	3528	7084	1498	124	0	0	0	0	12233	139.24	30.09	13.65	46.14	50.41	50.66	57.75	1.08	25.51	26.10
