ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2024 - 21,0.1,"2,178.4",750.3,76.7,"5,346.9",10.0,0.4,-0.4,"1,349.3","1,578.3",1.3,0.0,0.2,454.3,36.4,0.2,0.3,1.9,2.4,0.0,-0.7,10.9,-0.4,0.0,0.0,0.0,21.3,0.3,0.0
03/18/2024 - 22,0.1,"2,608.3",764.6,23.9,"5,305.9",6.8,0.5,0.0,"1,610.1","1,642.7",0.6,-0.1,0.1,261.1,6.9,0.1,1.5,2.4,11.0,-0.1,-0.5,11.1,-0.4,0.0,0.0,0.0,18.3,0.5,0.0
03/18/2024 - 23,0.1,"2,163.3",751.7,72.1,"5,391.6",9.2,0.5,-0.4,"1,345.7","1,589.5",1.3,0.0,0.1,435.9,37.7,0.2,0.2,0.2,0.6,0.0,-0.7,11.2,-0.3,0.0,0.0,0.0,21.9,0.2,0.0
03/18/2024 - 24,0.1,"2,714.8",776.3,21.0,"5,334.0",2.4,0.8,-0.1,"1,360.5","1,721.1",0.6,-0.1,0.1,250.5,1.8,0.1,0.6,0.4,1.0,0.0,-0.8,11.0,0.2,0.0,0.0,0.0,16.9,0.1,0.0
03/18/2024 - 25,0.1,"2,159.6",758.1,69.6,"5,421.6",8.8,0.6,-0.5,"1,360.2","1,607.4",1.2,0.0,0.1,505.3,81.3,0.3,0.2,0.2,0.4,0.0,-0.7,11.4,-0.3,0.0,0.0,0.0,23.5,0.2,0.0
03/18/2024 - 26,0.1,"2,512.2",775.3,20.6,"5,349.2",0.8,0.6,-0.3,"1,405.1","1,693.9",0.5,-0.1,0.1,283.1,24.7,0.1,0.4,0.3,0.1,-0.1,-0.6,11.2,-0.3,0.0,0.0,0.0,17.7,0.1,0.0
03/25/2024 - 1,0.2,"3,021.7","1,013.5",12.0,"5,764.3",17.2,0.8,-0.4,"1,072.3","2,208.0",0.6,-0.1,0.1,237.1,37.3,0.1,0.1,2.1,0.3,-0.1,-0.7,14.3,-0.4,0.0,0.0,0.0,16.0,0.0,0.0
03/25/2024 - 2,0.3,"3,793.7","1,018.2",3.6,"5,687.1",1.5,0.8,-0.2,922.4,"2,351.2",0.3,-0.2,0.1,36.1,2.9,0.0,0.2,1.2,1.3,-0.1,-0.6,14.4,-0.4,0.0,0.0,0.0,12.0,0.1,0.0
03/25/2024 - 3,0.2,"3,008.9","1,007.5",12.5,"5,763.9",16.2,0.8,-0.4,"1,069.7","2,208.5",0.5,-0.1,0.2,217.5,34.9,0.1,0.1,2.1,1.5,-0.1,-0.6,14.2,-0.4,0.0,0.0,0.0,16.0,0.0,0.0
03/25/2024 - 4,0.3,"4,069.7","1,013.9",2.8,"5,698.0",1.8,0.8,-0.2,811.2,"2,323.2",0.3,-0.2,0.1,34.5,3.1,0.0,0.2,1.2,0.1,-0.1,-0.6,14.2,-0.4,0.0,0.0,0.0,11.3,0.0,0.0
03/25/2024 - 5,0.2,"3,003.6","1,007.9",13.6,"5,961.1",16.9,0.8,-0.4,"1,086.9","2,283.2",0.6,-0.1,0.1,252.4,49.3,0.1,0.1,2.1,2.9,-0.1,-0.4,14.3,-0.4,0.0,0.0,0.0,16.6,0.0,0.0
