DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2024-07-08T09:47:53Z,0.392,27.7311,30.96,5.8991,0.1704,1.0998000000000001,3.8598,33.277559,31.552,8.3851,106.568,265.58,1.552037400489604,0.068,0
2024-07-08T09:47:53Z,0.41,27.7305,30.96,5.7046,0.1704,1.0998000000000001,3.9052,33.2933,31.567,8.3861,106.515,264.31,1.5528362238181403,0.07,0
2024-07-08T09:47:53Z,0.428,27.7299,30.96,5.7199,0.1704,1.0998000000000001,3.8901,33.309572,31.583,8.3856,106.458,262.14,1.5536870706525359,0.071,0
2024-07-08T09:47:53Z,0.446,27.7292,30.96,5.7008,0.1278,1.0575,3.8901,33.320752,31.595,8.384,106.434,260.32,1.5543332190484975,0.072,0
2024-07-08T09:47:53Z,0.464,27.7285,30.96,5.7084,0.1278,1.0575,3.9203,33.31389,31.59,8.381,106.468,258.57,1.554095469504475,0.073,0
2024-07-08T09:47:53Z,0.483,27.7276,30.96,5.5139,0.1278,1.0575,3.8145,33.287153000000004,31.567,8.3769,106.541,253.57,1.5529282553349744,0.074,0
2024-07-08T09:47:53Z,0.502,27.7263,30.96,5.5215,0.1278,1.0575,3.8598,33.267274,31.55,8.3727,106.614,243.31,1.5520858232268067,0.076,0
2024-07-08T09:47:53Z,0.522,27.7244,30.96,5.5291,0.1278,1.0152,3.9354,33.272853,31.558,8.371,106.671,231.8,1.552562436334144,0.076,0
2024-07-08T09:47:53Z,0.542,27.7216,30.96,5.51,0.1278,1.0152,3.8901,33.285459,31.571,8.3741,106.712,228.05,1.5533279800926871,0.076,0
2024-07-08T09:47:53Z,0.562,27.718,30.96,5.304,0.1278,1.0152,3.9354,33.284551,31.572,8.3804,106.729,221.85,1.553495295767537,0.076,0
2024-07-08T09:47:53Z,0.581,27.7144,30.96,5.2888,0.1278,1.0152,3.9203,33.283831,31.574,8.3868,106.703,220.07,1.553714641548561,0.075,0
2024-07-08T09:47:53Z,0.6,27.7111,30.96,5.2812,0.1278,1.0998000000000001,3.8901,33.28709,31.58,8.3917,106.639,215.53,1.55413244203537,0.074,0
2024-07-08T09:47:53Z,0.618,27.7082,30.96,5.2812,0.1278,1.0998000000000001,3.9203,33.279263,31.576,8.3954,106.563,211.77,1.5540172954891287,0.073,0
2024-07-08T09:47:53Z,0.637,27.7051,30.96,5.1667,0.1278,1.0998000000000001,3.739,33.262246,31.564,8.3971,106.494,206.32,1.553492424957134,0.073,0
2024-07-08T09:47:53Z,0.655,27.7014,30.96,5.1743,0.1278,1.0998000000000001,3.603,33.245442,31.553,8.3956,106.429,202.5,1.5530387713140885,0.073,0
2024-07-08T09:47:53Z,0.674,27.6966,30.96,5.1362,0.1278,1.0998000000000001,3.739,33.236323,31.549,8.3914,106.35,198.4,1.5529845514564546,0.072,0
2024-07-08T09:47:53Z,0.692,27.6907,30.96,5.1591,0.1278,1.0998000000000001,3.739,33.232455,31.55,8.3863,106.244,196.04,1.5532257926600526,0.072,0
2024-07-08T09:47:53Z,0.711,27.6836,30.96,4.7967,0.1278,1.0998000000000001,3.6786,33.226831,31.55,8.3819,106.095,191.08,1.5534536009037254,0.071,0
2024-07-08T09:47:53Z,0.729,27.6758,30.96,4.7852,0.1278,1.0998000000000001,3.739,33.213969,31.544,8.3779,105.887,188.65,1.5533916837511799,0.07,0
2024-07-08T09:47:53Z,0.747,27.6678,30.96,4.8158,0.1278,1.0998000000000001,3.6635,33.186455,31.525,8.3729,105.627,188.32,1.5526594891737366,0.07,0
2024-07-08T09:47:53Z,0.764,27.6597,30.96,4.7738,0.1704,1.0575,3.6635,33.154876,31.503,8.3657,105.337,185.84,1.5517741145060109,0.069,0
2024-07-08T09:47:53Z,0.781,27.6511,30.96,4.9912,0.1704,1.0575,3.7994,33.140689,31.498,8.3552,105.049,181.53,1.551789655263619,0.068,0
2024-07-08T09:47:53Z,0.799,27.641,30.96,4.976,0.1704,1.0575,3.603,33.15206,31.516,8.3403,104.785,175.25,1.5530511759726726,0.065,0
2024-07-08T09:47:53Z,0.816,27.629,30.96,4.976,0.1704,1.0575,3.6937,33.174096,31.543,8.3216,104.539,171.56,1.5548432361795528,0.062,0
2024-07-08T09:47:53Z,0.832,27.6155,30.96,4.9874,0.1278,1.0575,3.6786,33.184787,31.558,8.3008,104.297,166.34,1.5560592393976347,0.058,0
2024-07-08T09:47:53Z,0.847,27.6014,30.96,5.4948,0.1278,1.0575,3.603,33.186983,31.562,8.2801,104.063,164.51,1.556721854782556,0.053,0
2024-07-08T09:47:53Z,0.86,27.5884,30.96,5.4719,0.1278,1.0575,3.6635,33.197205,31.572,8.2612,103.861,163.66,1.5576622513700018,0.047,0
2024-07-08T09:47:53Z,0.871,27.5781,30.96,5.4757,0.1278,1.0575,3.603,33.202244,31.576,8.2433,103.719,163.66,1.5582030468104209,0.042,0
2024-07-08T09:47:53Z,0.88,27.5715,30.96,5.4566,0.1278,1.0998000000000001,3.6635,33.17755,31.553,8.2252,103.652,162.91,1.5572162212580325,0.037,0
2024-07-08T09:47:53Z,0.889,27.5686,30.96,5.6092,0.1278,1.0998000000000001,3.603,33.142433,31.519,8.2073,103.651,163.41,1.555536161268839,0.033,0
2024-07-08T09:47:53Z,0.896,27.568,30.96,5.6054,0.1278,1.0998000000000001,3.6635,33.121387,31.499,8.1914,103.699,163.8,1.554512211495475,0.03,0
2024-07-08T09:47:53Z,0.903,27.5685,30.96,5.5863,0.1278,1.0998000000000001,3.7692,33.104818,31.482,8.1801,103.778,162.95,1.5536093641541453,0.028,0
2024-07-08T09:47:53Z,0.909,27.5689,30.96,5.594,0.1278,1.0998000000000001,3.7088,33.088307,31.466,8.1748,103.878,162.91,1.5527619248840072,0.027,0
2024-07-08T09:47:53Z,0.916,27.5691,30.96,5.4795,0.1278,1.0998000000000001,3.6937,33.079402,31.458,8.1747,103.995,162.95,1.55233818526809,0.027,0
2024-07-08T09:47:53Z,0.922,27.5692,30.96,5.4757,0.1278,1.0998000000000001,3.6635,33.065769,31.446,8.1785,104.106,164.33,1.551709069768466,0.028,0
2024-07-08T09:47:53Z,0.929,27.5697,30.96,5.4795,0.1278,1.0998000000000001,3.6937,33.045765,31.428,8.1846,104.18,162.38,1.5507542197471498,0.03,0
2024-07-08T09:47:53Z,0.936,27.5704,30.96,5.4795,0.1278,1.0998000000000001,3.8145,33.047915,31.433,8.1924,104.206,162.7,1.5509923658916407,0.032,0
2024-07-08T09:47:53Z,0.945,27.5706,30.96,5.3384,0.0852,1.0575,3.6937,33.070801,31.46,8.2016,104.191,161.64,1.5523938246490256,0.036,0
2024-07-08T09:47:53Z,0.954,27.5698,30.96,5.3498,0.0852,1.0575,3.6181,33.100608,31.496,8.2105,104.138,162.06,1.5542969408085845,0.04,0
2024-07-08T09:47:53Z,0.965,27.5673,30.96,5.346,0.0852,1.0575,3.6937,33.131341,31.533,8.2166,104.038,160,1.5563072288595603,0.044,0
2024-07-08T09:47:53Z,0.977,27.5621,30.96,5.3651,0.0852,1.0575,3.6635,33.149285,31.557,8.2195,103.875,156.9,1.557726795528485,0.048,0
2024-07-08T09:47:53Z,0.99,27.553,31.05,5.552,0.1278,1.1844,3.739,33.1652,31.578,8.2197,103.633,153.66,1.5591161677146812,0.052,0
2024-07-08T09:47:53Z,1.004,27.541,31.05,5.5177,0.1278,1.1844,3.6484,33.175364,31.593,8.2172,103.321,149.93,1.5602866874428325,0.055,0
2024-07-08T09:47:53Z,1.019,27.5281,31.05,5.5253,0.1278,1.1844,3.5879,33.154599,31.578,8.2112,102.957,147.93,1.5599205454774774,0.057,0
2024-07-08T09:47:53Z,1.034,27.5163,31.05,5.5367,0.1278,1.1844,3.6937,33.125256,31.556,8.2,102.555,145.28,1.5591530669320708,0.058,0
2024-07-08T09:47:53Z,1.049,27.5064,31.05,5.4719,0.1278,1.0998000000000001,3.739,33.113368,31.549,8.1824,102.134,142.75,1.5591072959951304,0.058,0
2024-07-08T09:47:53Z,1.064,27.4977,31.05,5.449,0.1278,1.0998000000000001,3.6635,33.095847,31.536,8.159,101.712,138.77,1.5587092577793635,0.058,0
2024-07-08T09:47:53Z,1.079,27.489,31.05,5.4948,0.1278,1.0998000000000001,3.6937,33.062046,31.507,8.1315,101.311,137.15,1.5574751426878721,0.058,0
2024-07-08T09:47:53Z,1.094,27.4802,31.05,5.4643,0.1278,1.0998000000000001,3.6635,33.028844,31.478,8.101,100.96,135.2,1.5562439057600432,0.058,0
2024-07-08T09:47:53Z,1.108,27.4723,31.05,5.6359,0.1278,1.0998000000000001,3.603,33.003323,31.455,8.0689,100.684,132.41,1.555296807560429,0.057,0
2024-07-08T09:47:53Z,1.123,27.4659,31.14,5.6512,0.1278,0.8883,3.6484,32.982658,31.438,8.0365,100.49,129.59,1.5546146305998707,0.056,0
