DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2024-07-08T13:18:12Z,-0.102,27.6155,1.49,22.8741,43.913461,41.719,6.2139,75.667,9.009,34.9984,2099.2,2.0913125834652275,0.002,0
2024-07-08T13:18:12Z,-0.097,27.6174,1.4832,22.9466,43.855647,41.656,6.1254,75.91,9.013,34.5266,2036.9,2.0878785729738403,0.01,0
2024-07-08T13:18:12Z,-0.087,27.6196,1.498,23.0803,43.988575,41.773,6.0404,76.446,9.02,33.999,1900,2.094007056106731,0.015,0
2024-07-08T13:18:12Z,-0.079,27.6176,1.536,23.2263,44.187737,41.954,5.9727,76.932,9.029,33.7817,1807.3,2.103725457989832,0.017,0
2024-07-08T13:18:12Z,-0.074,27.6205,1.5598,23.2768,44.296004,42.049,5.9437,77.2,9.038,33.7921,1857.4,2.1086549387983227,0.016,0
2024-07-08T13:18:12Z,-0.074,27.6345,1.5612,23.2473,44.282038,42.032,5.9716,77.262,9.045,33.6071,1956.7,2.1071376578692345,0.014,0
2024-07-08T13:18:12Z,-0.074,27.6464,1.5689,23.3482,44.209308,41.968,6.0236,77.206,9.05,33.3518,1933.6,2.103212948053756,0.012,0
2024-07-08T13:18:12Z,-0.072,27.6548,1.6032,23.6077,44.114848,41.886,6.0654,77.148,9.056,33.1153,1683.1,2.0984857453415255,0.01,0
2024-07-08T13:18:12Z,-0.067,27.6669,1.6262,23.7892,44.092034,41.868,6.0837,77.171,9.062,32.8132,1341,2.097002038288326,0.008,0
2024-07-08T13:18:12Z,-0.062,27.675,1.6302,23.8349,44.18735,41.958,6.085,77.182,9.069,32.5374,1218,2.1014334913605714,0.008,0
2024-07-08T13:18:12Z,-0.06,27.6655,1.6262,23.7847,44.251714,42.02,6.0791,77.04,9.076,32.362,1347.7,2.105144328696188,0.008,0
2024-07-08T13:18:12Z,-0.061,27.6514,1.6113,23.7286,44.235513,42.014,6.071,76.741,9.082,32.2412,1467.8,2.1054411482819084,0.007,0
2024-07-08T13:18:12Z,-0.061,27.6476,1.6083,23.7721,44.181875,41.981,6.0776,76.339,9.087,32.0227,1416.8,2.1038517990186145,0.005,0
2024-07-08T13:18:12Z,-0.059,27.6508,1.6154,23.8317,44.110949,41.934,6.0842,75.869,9.093,31.6138,1283.2,2.10121234447918,0.003,0
2024-07-08T13:18:12Z,-0.057,27.6541,1.6142,23.7322,44.076131,41.915,6.0708,75.354,9.1,31.1686,1218.2,2.100058021549628,0.002,0
2024-07-08T13:18:12Z,-0.056,27.6425,1.6022,23.5247,44.078248,41.924,6.0471,74.789,9.107,30.8551,1280.6,2.101042246396368,0.001,0
2024-07-08T13:18:12Z,-0.056,27.615,1.5948,23.5092,44.073056,41.923,6.0176,74.164,9.114,30.6627,1393.9,2.102188640073141,0,0
2024-07-08T13:18:12Z,-0.057,27.5861,1.6,23.5801,44.076829,41.928,5.9828,73.514,9.119,30.4775,1415.5,2.103716830344937,-0.002,0
2024-07-08T13:18:12Z,-0.058,27.5684,1.5811,23.3564,44.123871,41.972,5.9439,72.878,9.124,30.3374,1421.7,2.1068346232139237,-0.005,0
2024-07-08T13:18:12Z,-0.059,27.5618,1.533,22.9568,44.197506,42.041,5.9011,72.246,9.128,30.4312,1600.7,2.1108005129898557,-0.007,0
2024-07-08T13:18:12Z,-0.061,27.5561,1.5005,22.7789,44.268929,42.109,5.8513,71.623,9.131,30.5782,1917.3,2.1146751542661018,-0.007,0
2024-07-08T13:18:12Z,-0.064,27.5539,1.488,22.7772,44.289209,42.13,5.7979,71.039,9.135,30.4808,2202.2,2.1158913847687812,-0.006,0
2024-07-08T13:18:12Z,-0.067,27.5556,1.4826,22.765,44.252291,42.099,5.7493,70.524,9.139,30.1999,2339.4,2.11416418586833,-0.005,0
2024-07-08T13:18:12Z,-0.068,27.5574,1.4678,22.6313,44.203398,42.054,5.6989,70.104,9.144,29.8487,2367.5,2.111686595759294,-0.003,0
2024-07-08T13:18:12Z,-0.068,27.559,1.4341,22.3222,44.142373,41.994,5.6484,69.818,9.148,29.5902,2373.9,2.108418708901307,-0.001,0
2024-07-08T13:18:12Z,-0.067,27.5562,1.3992,22.1022,44.085714,41.935,5.6019,69.673,9.151,29.4839,2353.8,2.105397122837573,-0,0
2024-07-08T13:18:12Z,-0.065,27.5504,1.3711,22.0557,44.089615,41.93,5.5614,69.601,9.156,29.4236,2315.7,2.1053843631490072,0.001,0
2024-07-08T13:18:12Z,-0.065,27.5482,1.3775,22.238,44.126084,41.955,5.5273,69.518,9.161,29.3774,2322,2.10681308131026,0.001,0
2024-07-08T13:18:12Z,-0.066,27.5503,1.4177,22.6325,44.14582,41.968,5.503,69.366,9.164,29.1837,2378.6,2.107414038953479,0,0
2024-07-08T13:18:12Z,-0.067,27.5572,1.442,22.8291,44.137826,41.958,5.4944,69.136,9.166,28.8876,2436.4,2.1065790421041126,1.8792e-8,0
2024-07-08T13:18:12Z,-0.067,27.569,1.4383,22.8041,44.092906,41.913,5.4893,68.855,9.169,28.7224,2467.9,2.1036653162154435,2.0671e-7,0
2024-07-08T13:18:12Z,-0.067,27.5814,1.4305,22.8086,44.047021,41.867,5.4837,68.54,9.173,28.6498,2480.9,2.100673694526671,2.4361e-7,0
2024-07-08T13:18:12Z,-0.066,27.5893,1.4392,22.8491,44.027373,41.846,5.4713,68.23,9.178,28.6122,2474.1,2.0992109025901757,4.6484e-7,0
2024-07-08T13:18:12Z,-0.066,27.5913,1.4518,22.8838,43.982294,41.802,5.451,67.964,9.183,28.5259,2466.7,2.0967811991173395,0,0
2024-07-08T13:18:12Z,-0.066,27.5925,1.4583,22.8869,43.819349,41.649,5.4297,67.764,9.189,28.294,2494.2,2.0885850534307444,0,0
2024-07-08T13:18:12Z,-0.067,27.5965,1.4681,22.8181,43.517104,41.369,5.4024,67.669,9.195,28.1315,2523.7,2.0735148751204235,0.001,0
2024-07-08T13:18:12Z,-0.067,27.6011,1.4791,22.7689,43.184148,41.065,5.3766,67.713,9.199,28.1098,2522.6,2.0571535603442066,0.002,0
2024-07-08T13:18:12Z,-0.066,27.6027,1.4908,22.805,42.96719,40.868,5.3554,67.96,9.203,28.032,2416.3,2.046616168776835,0.002,0
2024-07-08T13:18:12Z,-0.064,27.6007,1.501,22.81,42.92496,40.83,5.3381,68.468,9.207,27.8785,2202.3,2.044682027891798,0.001,0
2024-07-08T13:18:12Z,-0.062,27.5929,1.4953,22.5567,43.054382,40.954,5.331,69.1,9.209,27.7172,2075,2.0516032037208176,-0.001,0
2024-07-08T13:18:12Z,-0.061,27.5729,1.4628,22.0996,43.262596,41.154,5.335,69.574,9.212,27.6307,2149.7,2.0630922614055507,-0.003,0
2024-07-08T13:18:12Z,-0.064,27.5563,1.4253,21.8605,43.347887,41.237,5.352,69.742,9.215,27.6066,2323.7,2.068220793904591,-0.005,0
2024-07-08T13:18:12Z,-0.068,27.5585,1.4241,21.8862,43.19702,41.094,5.3957,69.605,9.22,27.4254,2423.9,2.060517177308198,-0.005,0
2024-07-08T13:18:12Z,-0.071,27.5605,1.4395,21.9312,42.898318,40.813,5.4568,69.245,9.225,27.1614,2434.7,2.045485775772262,-0.005,0
2024-07-08T13:18:12Z,-0.072,27.5538,1.4366,22.0974,42.65598,40.585,5.4975,68.801,9.229,27.0806,2429.5,2.0336476305685705,-0.004,0
2024-07-08T13:18:12Z,-0.071,27.5515,1.4301,22.4619,42.551877,40.489,5.5106,68.381,9.234,27.0508,2424.4,2.028641707333327,-0.001,0
2024-07-08T13:18:12Z,-0.07,27.5527,1.4199,22.6827,42.528196,40.47,5.498,68.024,9.24,26.974,2420.4,2.0275812523029786,0.001,0
2024-07-08T13:18:12Z,-0.07,27.5486,1.4211,22.7172,42.560052,40.507,5.4646,67.682,9.245,26.9263,2419.2,2.029720678336329,0.002,0
2024-07-08T13:18:12Z,-0.07,27.5425,1.4451,22.606,42.619686,40.571,5.4277,67.297,9.248,26.904,2420.6,2.033380615205895,0.002,0
2024-07-08T13:18:12Z,-0.07,27.541,1.4602,22.2955,42.614518,40.571,5.3931,66.884,9.251,26.8775,2420.7,2.0334439854517847,0.002,0
2024-07-08T13:18:12Z,-0.069,27.5379,1.4542,22.0709,42.497562,40.465,5.3672,66.464,9.254,26.777,2417.6,2.0279389156830914,0.002,0
2024-07-08T13:18:12Z,-0.069,27.5274,1.4392,22.0081,42.34802,40.331,5.344,66.02,9.256,26.6355,2412.3,2.0212566299799324,0.002,0
2024-07-08T13:18:12Z,-0.068,27.5172,1.4367,22.0822,42.266191,40.265,5.3131,65.576,9.259,26.5426,2408.4,2.018175784761486,0.002,0
2024-07-08T13:18:12Z,-0.067,27.5121,1.4494,22.2492,42.269785,40.281,5.2797,65.179,9.262,26.5148,2422,2.0192404659924326,0.002,0
2024-07-08T13:18:12Z,-0.066,27.5069,1.4584,22.3207,42.327983,40.348,5.2489,64.823,9.266,26.5579,2446.2,2.023022063802902,0.001,0
2024-07-08T13:18:12Z,-0.066,27.4958,1.4539,22.2973,42.398628,40.425,5.2138,64.498,9.269,26.6333,2452,2.0275856310968354,0,0
2024-07-08T13:18:12Z,-0.067,27.4783,1.4534,22.2736,42.425767,40.456,5.178,64.204,9.272,26.5659,2449.9,2.029973656095812,0,0
2024-07-08T13:18:12Z,-0.068,27.4606,1.4774,22.3072,42.338765,40.376,5.1495,63.889,9.276,26.4306,2451.3,2.0264614069685494,0,0
2024-07-08T13:18:12Z,-0.068,27.445,1.503,22.3616,42.17179,40.221,5.1229,63.501,9.278,26.4603,2443.7,2.0188650983549365,0.001,0
2024-07-08T13:18:12Z,-0.067,27.4324,1.5136,22.3851,42.057057,40.116,5.0978,63.121,9.28,26.4951,2382.7,2.0138028171541094,0.001,0
2024-07-08T13:18:12Z,-0.066,27.4272,1.4972,22.3174,42.030507,40.096,5.0763,62.84,9.283,26.4219,2252.1,2.0129556397015693,0.001,0
2024-07-08T13:18:12Z,-0.065,27.4251,1.4551,22.1922,42.104642,40.171,5.0555,62.626,9.286,26.3492,2192.1,2.017037901345005,0,0
2024-07-08T13:18:12Z,-0.065,27.4189,1.4363,22.1694,42.255257,40.32,5.0212,62.41,9.288,26.2174,2288.9,2.0252363061234417,-0.001,0
2024-07-08T13:18:12Z,-0.066,27.4109,1.4456,22.1785,42.328325,40.393,4.9878,62.151,9.29,26.0333,2407.2,2.029464206741711,-0.001,0
2024-07-08T13:18:12Z,-0.068,27.4067,1.4428,22.1325,42.226461,40.297,4.9687,61.891,9.291,26.1018,2448.7,2.0245249314314955,-0.001,0
