DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2024-07-11T09:47:41Z,-0.11,27.7577,12.6,0.1312,0.0426,0.1692,0.4458,121.498675,114.45,6.2764,80.455,1657.9,6.135679134009658,0.115,0
2024-07-11T09:47:41Z,-0.083,27.8994,12.6,0.1351,0.0426,0.1692,0.4156,121.406799,114.364,6.2679,80.658,1723.3,6.112607581820794,0.114,0
2024-07-11T09:47:41Z,-0.056,27.9871,12.6,0.116,0.0426,0.1692,0.4911,121.35411,114.333,6.2687,80.867,1763.8,6.099666301748817,0.114,0
2024-07-11T09:47:41Z,-0.028,28.0368,12.6,0.1274,0.0426,0.1692,0.5213,121.392569,114.39,6.2767,81.091,1736.1,6.096633801117686,0.117,0
2024-07-11T09:47:41Z,0.001,28.0598,12.96,0.0969,0.0426,0.0423,0.4911,121.536428,114.537,6.2892,81.339,1650.7,6.102157887147744,0.12,0
2024-07-11T09:47:41Z,0.033,28.0646,12.96,0.1198,0.0426,0.0423,0.4307,121.782039,114.76,6.3045,81.617,1623.7,6.114353708614462,0.124,0
2024-07-11T09:47:41Z,0.067,28.0591,12.96,0.0893,0.0426,0.0423,0.5213,122.056867,114.989,6.3214,81.938,474.22,6.128206423535874,0.128,0
2024-07-11T09:47:41Z,0.101,28.0512,12.96,0.1656,0.0426,0.0423,0.4911,122.272165,115.143,6.3398,82.329,1919.4,6.138061122391192,0.132,0
2024-07-11T09:47:41Z,0.134,28.0473,12.96,0.1694,0.0852,0.2538,0.476,122.419332,115.228,6.3596,82.835,1262.7,6.143442521414908,0.134,0
2024-07-11T09:47:41Z,0.169,28.0515,12.96,0.1694,0.0852,0.2538,0.4458,122.531617,115.283,6.3808,83.523,923.05,6.146064993831798,0.134,0
2024-07-11T09:47:41Z,0.203,28.0659,12.96,0.1808,0.0852,0.2538,0.4458,122.630962,115.333,6.4042,84.495,796.26,6.147095584141808,0.135,0
2024-07-11T09:47:41Z,0.238,28.0885,12.96,0.1694,0.0852,0.2538,0.4156,122.709852,115.371,6.4322,85.807,594.72,6.146388187814777,0.134,0
2024-07-11T09:47:41Z,0.273,28.1136,12.87,0.1808,0.0852,0.1692,0.5364,122.761319,115.387,6.4688,87.368,1313.7,6.144099010894461,0.134,0
2024-07-11T09:47:41Z,0.306,28.1369,12.87,0.1732,0.0852,0.1692,0.5213,122.811092,115.406,6.5198,88.961,636.44,6.142213523732691,0.134,0
2024-07-11T09:47:41Z,0.339,28.1568,12.87,0.1846,0.0852,0.1692,0.4458,122.864442,115.433,6.5933,90.305,375.92,6.14122186537599,0.134,0
2024-07-11T09:47:41Z,0.373,28.1737,12.87,0.1503,0.0852,0.1692,0.4458,122.899589,115.45,6.6937,91.136,546.39,6.140039855212441,0.134,0
2024-07-11T09:47:41Z,0.407,28.1885,12.96,0.1808,0.0426,0.0846,0.3854,122.905898,115.446,6.8137,91.343,956.75,6.137922390398427,0.135,0
2024-07-11T09:47:41Z,0.442,28.2015,12.96,0.1656,0.0426,0.0846,0.4005,122.885053,115.424,6.9364,90.976,493.24,6.135003798584781,0.137,0
2024-07-11T09:47:41Z,0.477,28.212,12.96,0.1808,0.0426,0.0846,0.4156,122.827495,115.376,7.0399,90.189,1046.4,6.1309152913177565,0.139,0
2024-07-11T09:47:41Z,0.513,28.2195,12.96,0.2152,0.0426,0.0846,0.5062,122.709873,115.285,7.1038,89.22,834.7,6.124747201909605,0.142,0
