DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2024-07-15T11:35:30Z,-0.12,27.4711,2.3219,12.4439,44.78983,42.662,6.7245,85.597,7.384,164.8826,177.06,2.1479625019976383,0.065,0
2024-07-15T11:35:30Z,-0.099,27.4738,2.326,12.5626,44.82109,42.685,6.7298,85.789,7.381,178.0093,157.51,2.149070748244756,0.07,0
2024-07-15T11:35:30Z,-0.079,27.4775,2.3141,12.5531,44.806174,42.661,6.736,85.951,7.381,201.6962,134.28,2.147622187446196,0.075,0
2024-07-15T11:35:30Z,-0.061,27.4825,2.2026,12.4319,44.799929,42.646,6.7458,86.132,7.383,210.3697,109.15,2.1465968155340445,0.078,0
2024-07-15T11:35:30Z,-0.041,27.4865,2.0193,12.3272,44.809076,42.646,6.7596,86.36,7.385,196.7535,88.864,2.146417828900908,0.078,0
2024-07-15T11:35:30Z,-0.021,27.4932,1.9364,12.3119,44.789834,42.623,6.7769,86.509,7.384,178.6851,77.649,2.144889493408751,0.081,0
2024-07-15T11:35:30Z,0.001,27.507,1.9416,12.3149,44.757714,42.591,6.7861,86.523,7.379,170.0934,73.772,2.1425644063050577,0.089,0
2024-07-15T11:35:30Z,0.022,27.5201,1.9405,12.2958,44.738089,42.577,6.7945,86.453,7.375,168.6722,73.103,2.141232926363963,0.098,0
2024-07-15T11:35:30Z,0.042,27.5298,1.9399,12.3543,44.74297,42.59,6.8197,86.369,7.374,168.0407,72.713,2.141494773666156,0.106,0
2024-07-15T11:35:30Z,0.072,27.537,1.9599,12.5782,44.753244,42.61,6.8306,86.326,7.375,167.6206,70.736,2.1422411888205524,0.111,0
2024-07-15T11:35:30Z,0.11,27.5401,1.9824,12.7484,44.735336,42.602,6.8295,86.348,7.376,167.3785,67.794,2.1416752628612503,0.114,0
2024-07-15T11:35:30Z,0.144,27.5345,1.995,12.7719,44.716857,42.593,6.8227,86.404,7.376,167.1782,64.939,2.141443541362483,0.114,0
2024-07-15T11:35:30Z,0.17,27.5202,2.0875,12.7254,44.720229,42.606,6.8159,86.435,7.377,167.0056,62.148,2.142773925729782,0.11,0
2024-07-15T11:35:30Z,0.196,27.5071,2.2596,12.5961,44.712624,42.61,6.814,86.47,7.379,166.9266,59.638,2.143570793647646,0.102,0
2024-07-15T11:35:30Z,0.222,27.4967,2.3613,12.5072,44.688362,42.598,6.8166,86.525,7.382,166.9972,57.448,2.143392926978064,0.093,0
2024-07-15T11:35:30Z,0.244,27.4863,2.3935,12.5047,44.680757,42.603,6.8268,86.526,7.383,167.1709,55.673,2.144123367497421,0.085,0
2024-07-15T11:35:30Z,0.264,27.4747,2.4499,12.5657,44.684131,42.617,6.8277,86.409,7.383,167.3928,54.308,2.1453887395028715,0.08,0
2024-07-15T11:35:30Z,0.283,27.4621,2.5189,12.6651,44.665662,42.608,6.8307,86.154,7.383,167.7003,53.287,2.145469797085388,0.076,0
2024-07-15T11:35:30Z,0.301,27.4467,2.5453,12.6811,44.647867,42.593,6.8408,85.754,7.382,168.0508,52.49,2.145355055938428,0.073,0
2024-07-15T11:35:30Z,0.318,27.4308,2.5528,12.6905,44.659407,42.603,6.8443,85.259,7.382,168.27440000000001,52.052,2.1465998376486617,0.073,0
2024-07-15T11:35:30Z,0.335,27.4181,2.6008,12.745,44.678241,42.62,6.8367000000000004,84.752,7.383,168.2524,52.078,2.148076891647476,0.071,0
2024-07-15T11:35:30Z,0.354,27.4058,2.6675,12.7586,44.685157,42.628,6.8187,84.307,7.384,168.0427,51.754,2.149055044712178,0.066,0
2024-07-15T11:35:30Z,0.375,27.4032,2.6853,12.7535,44.679542,42.625,6.786,83.99,7.386,167.8897,51.002,2.1490103528141518,0.059,0
2024-07-15T11:35:30Z,0.394,27.4087,2.6663,12.6823,44.673828,42.62,6.7432,83.82,7.386,167.8655,50.467,2.1484962052184384,0.049,0
2024-07-15T11:35:30Z,0.404,27.409,2.662,12.4788,44.679541,42.625,6.7018,83.795,7.386,167.83690000000001,49.952,2.1487501565349088,0.038,0
2024-07-15T11:35:30Z,0.409,27.4066,2.675,12.3077,44.685146,42.627,6.6639,83.867,7.386,167.8879,49.433,2.148964548113435,0.028,0
2024-07-15T11:35:30Z,0.412,27.4038,2.6903,12.2875,44.678118,42.616,6.6397,83.97,7.385,168.0512,48.993,2.1485010703295893,0.02,0
2024-07-15T11:35:30Z,0.415,27.4021,2.6897,12.2694,44.658043,42.597,6.6259,84.092,7.383,168.2632,49.212,2.1475600252765012,0.018,0
2024-07-15T11:35:30Z,0.416,27.4028,2.6754,12.2936,44.632863,42.584,6.6249,84.211,7.382,168.4727,50.252,2.146832944669112,0.023,0
2024-07-15T11:35:30Z,0.417,27.4066,2.6429,12.4772,44.62755,42.6,6.6337,84.256,7.383,168.5182,51.423,2.147519376840766,0.029,0
2024-07-15T11:35:30Z,0.427,27.4144,2.596,12.6788,44.657241,42.649,6.6398,84.18,7.384,168.3832,52.538,2.149792544457154,0.03,0
2024-07-15T11:35:30Z,0.443,27.4183,2.5742,12.7843,44.674444,42.671,6.6492000000000004,83.973,7.385,168.3041,53.479,2.150794876847408,0.029,0
2024-07-15T11:35:30Z,0.459,27.4051,2.5626,12.7623,44.645106,42.634,6.6633,83.674,7.386,168.5071,53.938,2.149405297264643,0.029,0
2024-07-15T11:35:30Z,0.465,27.3739,2.5391,12.5498,44.619924,42.605,6.6718,83.418,7.386,168.9455,53.623,2.149249451962838,0.032,0
2024-07-15T11:35:30Z,0.461,27.3396,2.523,12.2978,44.623889,42.618,6.6695,83.313,7.385,169.389,52.751,2.151483440049455,0.038,0
2024-07-15T11:35:30Z,0.459,27.3316,2.5263,12.2441,44.629545,42.639,6.6544,83.312,7.385,169.6533,51.713,2.152968226544423,0.044,0
2024-07-15T11:35:30Z,0.471,27.3557,2.5529,12.3108,44.624801,42.646,6.6229,83.28,7.387,169.7314,50.671,2.1522617042728,0.05,0
2024-07-15T11:35:30Z,0.497,27.3678,2.62,12.3859,44.629992,42.655,6.5966,83.127,7.389,169.7313,49.792,2.152200485076718,0.056,0
2024-07-15T11:35:30Z,0.525,27.3493,2.7143,12.4353,44.628828,42.654,6.5929,82.867,7.389,169.7386,49.198,2.1529762018301035,0.059,0
2024-07-15T11:35:30Z,0.543,27.3245,2.769,12.4297,44.61073,42.635,6.6006,82.606,7.39,169.7338,48.777,2.1530706519771616,0.057,0
2024-07-15T11:35:30Z,0.551,27.3099,2.7813,12.4542,44.601597,42.626,6.6022,82.418,7.393,169.7585,48.45,2.1532435250549025,0.049,0
2024-07-15T11:35:30Z,0.556,27.3062,2.7793,12.4588,44.581877,42.61,6.5907,82.307,7.395,170.0379,48.31,2.152551477632463,0.041,0
2024-07-15T11:35:30Z,0.562,27.3085,2.7535,12.3481,44.562722,42.598,6.5655,82.278,7.397,170.444,48.443,2.1518045170673328,0.038,0
2024-07-15T11:35:30Z,0.571,27.3115,2.7277,12.2441,44.560415,42.606,6.5416,82.307,7.397,170.6254,48.743,2.152098718898757,0.04,0
2024-07-15T11:35:30Z,0.582,27.3113,2.7179,12.2258,44.553964,42.61,6.5287,82.339,7.397,170.5965,48.983,2.152321984178036,0.044,0
2024-07-15T11:35:30Z,0.595,27.308,2.6769,12.2632,44.548181,42.614,6.5185,82.349,7.397,170.5248,49.092,2.1526843929921675,0.046,0
2024-07-15T11:35:30Z,0.611,27.3007,2.6064,12.321,44.553957,42.625,6.5181,82.307,7.398,170.5326,48.968,2.153601952460581,0.045,0
2024-07-15T11:35:30Z,0.626,27.2869,2.5634,12.31,44.560315,42.634,6.5248,82.228,7.4,170.6056,48.628,2.1547046261309997,0.04,0
2024-07-15T11:35:30Z,0.637,27.2734,2.5485,12.2325,44.561574,42.635,6.528,82.158,7.402,170.6323,48.202,2.155365084348779,0.033,0
2024-07-15T11:35:30Z,0.642,27.2625,2.5597,12.2041,44.569169,42.642,6.5322,82.096,7.403,170.6842,47.749,2.1562311922117527,0.025,0
2024-07-15T11:35:30Z,0.644,27.2523,2.5987,12.2401,44.58868,42.657,6.5295,82.062,7.404,170.8879,47.298,2.1574958259351456,0.016,0
2024-07-15T11:35:30Z,0.646,27.2521,2.6287,12.2921,44.607055,42.667,6.5203,82.068,7.404,171.1164,46.935,2.1580417567642525,0.01,0
2024-07-15T11:35:30Z,0.649,27.2532,2.6319,12.2859,44.600923,42.651,6.5166,82.077,7.404,171.21,46.751,2.1571329571117217,0.007,0
2024-07-15T11:35:30Z,0.649,27.2496,2.6211,12.233,44.578039,42.62,6.5106,82.097,7.405,171.2455,46.723,2.1556303671184742,0.005,0
2024-07-15T11:35:30Z,0.65,27.2546,2.6145,12.2676,44.58428,42.62,6.5064,82.199,7.406,171.3734,46.878,2.1554053872660854,0.005,0
2024-07-15T11:35:30Z,0.651,27.2666,2.6183,12.3968,44.612924,42.643,6.5079,82.394,7.408,171.5518,47.111,2.156100206163395,0.005,0
2024-07-15T11:35:30Z,0.653,27.2788,2.6256,12.5305,44.606987,42.633,6.5071,82.586,7.409,171.5962,47.274,2.155014619395398,0.005,0
2024-07-15T11:35:30Z,0.653,27.2912,2.6189,12.553,44.575977,42.603,6.5043,82.733,7.409,171.5659,47.462,2.1528475973685564,0.006,0
2024-07-15T11:35:30Z,0.654,27.2997,2.6047,12.395,44.555373,42.586,6.5098,82.858,7.41,171.6159,47.746,2.1515540003991473,0.009,0
2024-07-15T11:35:30Z,0.656,27.3043,2.6041,12.2265,44.548293,42.588,6.53,82.965,7.411,171.7707,48.054,2.1514547910697024,0.013,0
2024-07-15T11:35:30Z,0.659,27.3095,2.6107,12.2235,44.553828,42.606,6.5453,83.049,7.411,171.9747,48.3,2.1521867049899694,0.018,0
2024-07-15T11:35:30Z,0.663,27.3111,2.6178,12.29,44.558802,42.624,6.5548,83.075,7.411,172.1035,48.372,2.1530801742067074,0.022,0
2024-07-15T11:35:30Z,0.67,27.3077,2.5901,12.279,44.54494,42.62,6.566,83.014,7.412,172.296,48.257,2.1530181635054233,0.027,0
2024-07-15T11:35:30Z,0.68,27.2987,2.5253,12.2268,44.513152,42.601,6.5748,82.909,7.412,172.58,48.197,2.1524028859402353,0.033,0
2024-07-15T11:35:30Z,0.689,27.2793,2.4928,12.2053,44.491823,42.597,6.5853,82.831,7.411,172.6986,48.258,2.153059444232777,0.038,0
2024-07-15T11:35:30Z,0.697,27.261,2.4883,12.2237,44.477448,42.602,6.5909,82.774,7.411,172.6974,48.237,2.1541502249846074,0.043,0
2024-07-15T11:35:30Z,0.708,27.2521,2.47,12.3137,44.466266,42.606,6.5858,82.713,7.411,172.7375,48.128,2.1547649973873817,0.045,0
2024-07-15T11:35:30Z,0.724,27.2419,2.4466,12.4049,44.483553,42.629,6.5751,82.692,7.412,172.7532,48.042,2.156458744596879,0.043,0
